animal_id,sex,species,site_id,site_type,location_id,easting,northing,date_of_birth,date_of_death,death_site_id,reason_for_death,batch_id,date_added_to_batch,date_removed_from_batch,vehicle_reg,journey_id,journey_origin,journey_destination,journey_start_date,journey_end_date
animal_1,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_2,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_3,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_4,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_5,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_6,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_7,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_8,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_9,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_10,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_11,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_12,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_13,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_14,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_15,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_16,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_17,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_18,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_19,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_20,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_21,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_22,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_23,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_24,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_25,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_26,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_27,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_28,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_29,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_30,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_31,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_32,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_33,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_34,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_35,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_36,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_37,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_38,f,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
animal_39,m,cow,,,,,,,,,,,'nan','NaT',,,,,'NaT','NaT'
